id,name,location,timing,req_time,fee,des,no_votes
52,Elephanta Caves,Mumbai,9:00 AM to 5:30 PM,4-5hours,10,A UNESCO World Heritage Site Elephanta Caves is a specimen of rock-cut art and architecture from the times of medieval India. The caves are located on the Elephanta or Gharapuri island which is situated at a distance of 11 km from the city of Mumbai. Natively known as Gharapurichi Leni the Elephanta Caves that exist today are ruins of what were once elaborately painted artworks. It also provides an amazing view of the Mumbai skyline. You can reach the Elephanta Caves via a ferry ride from Gateway of India. This collection of cave temples dates back to 5th to 7th centuries and most of them are dedicated to Lord Shiva.,75
53,Panju Island,Mumbai,,4-5hours,0,Panju Island is a lesser-known place located in the Vasai Creek in Palghar district. The island is used to connect the mainland of Vasai to another island Salsette. The place offers a stark contrast to modern-day living. With its ancient buildings and lifestyle salt pans mangrove forests the island is a dream-like destination for every curious travaller.,0
54,Arnala Fort,Mumbai,,4-5hours,0,Arnala Fort is an island fort that is situated just 8 miles north of Vasai near Mumbai in Maharashtra. Also known as Jaldurg or Janjire-Arnala the Arnala Fort was built by the Portuguese who formerly called it Ilha das vacas. As it is located away from the mainland on the quiet and secluded Arnala Island the place reverberates with serenity and tranquility and is therefore a major tourist attraction in the city. Flanked by the Arabian Sea the forlorn and desolate fort presents beauteous views of the surroundings- the ocean and the land.,0
55,Old Woman’s Island,Mumbai,,4-5hours,0,Mumbai city is supposed to be comprising of seven islands Old Woman’s Island (also known as Little Colaba) is one of these islands. The island was initially called as the Island of the Kolis i.e. the local fisherfolk who originally occupied the area. Till the late 18th century the area was governed by the Portuguese after which it was handed over to the British.,0
56,Worli Fort,Mumbai,,4-5hours,0,Located in the Worli neighborhood of Mumbai Worli Fort is an ancient defence fort that was built in around 1675. It is often mistaken to have been constructed by the Portuguese. But in reality it was built by the British as a defence fort as their strategy to lookout for enemy ships and pirates. Overlooking the Mahim Bay the fort offers some of the best views in the city and is visited by locals and tourists alike. In addition to that the monument has a built-in well a temple and ample viewpoints overlooking the vast sea.,0
57,Bandra Fort,Mumbai,6:00 AM - 6:30 PM,4-5hours,0,Also known as Castella de Aguada Bandra Fort is an ancient Portuguese Fort that is situated in Land’s End in the Bandra neighborhood of Mumbai. The fort lies several feet high from the average sea level at a height of 24 m. Besides being a major tourist spot in the region the fort has also been featured in several Bollywood films like Dil Chahta Hai and Buddha Mil Gaya. It is also frequented by couples and love birds who come here for photo and video shoots pre wedding shoots etc.,0
58,Dr. Bhau Daji Lad Museum,Mumbai,10:00 AM - 6:00 PM Closed on Wednesdays and Public Holidays,4-5hours,0,Situated in the Byculla neighborhood in Mumbai in close vicinity to the Byculla Zoo Dr. Bhau Daji Lad Museum is the oldest museum in town. First opened to the public in 1872 under the name of Victoria and Albert Museum the new name was given to it in 1975. It showcases the rich culture and heritage of the city through a collection of Fine and Decorative Arts. Among the permanent and most prominent collections in the museum are dioramas clay models lithographs photographs and books that document the life and times of olden days Bombay from the late eighteenth to the early twentieth century.,0
59,Cross Island,Mumbai,,4-5hours,0,Colloquially known as Chinal Tekdi Cross Island is located on the Mumbai Harbour in India. Sandwiched between Dockyard Road and Elephanta Island Cross Island boasts of immense beauty and sparse population. Among the few structures located on the island you can find an oil refinery several large gas holders and gorgeous remains of a ruined fort. Cross Island is located around 400 m from Ferry Wharf and can be reached in a speed boat or ferry.,0
60,Salsette Island,Mumbai,,4-5hours,0,Located on the Western Coast of India in the state of Maharashtra Salsette Island is one of the most densely populated islands in the world. The island houses the busy metropolis of Bombay Thane and Mira- Bhayandar and is also known to be one of the most populous islands with a population of around 15.1 million on a relatively small area of 619 square kms. The island is covered by water on all sides- Vasai Creek to the north Ulhas River on the northeast Thane Creek and Bombay Harbour on the East and Arabian Sea on the south and the west. The island is blessed with numerous lakes bays and rivers.,0
61,Dharavi,Mumbai,null,4-5hours,0,Dharavi in Mumbai is the largest slum in India second to Orangi Township in Karachi which is the largest slum in Asia and forth to the largest slum in the world in Mexico. With an area of mere 2.1 km square Dharavi is a hub for several commercial activities and home to a whopping population of 700000 to 1000000. However it is not because of the slum's extreme poverty that the place has got recognition all over the world. People over at Dharavi work tirelessly to make sure the city of Mumbai functions effectively. If you were to remove Dharavi from Mumbai the city would completely collapse. And why would it not? Dharavi houses lanes and lanes of commercial units like waste segregation fabric dyeing leather production and many more. To give you a perspective there are about 15000 single room factories and 7000 industries all in an area of just over 2 km square.,0
62,Chor Bazaar Mumbai,Mumbai,11:00 AM to 07:30 PM IST (Closed on Fridays),3- 4 Hours,0,Chor Bazaar is one of the largest markets and one of the famous attractions in Mumbai Maharashtra. Also known as the biggest flea market in the country Chor Bazaar has a legend associated with it. People say if one loses anything in the city they can buy it back at this Bazaar. The sellers mostly deal second-hand goods but yes there would be some items that have been stolen. It is a bustling marketplace with shops and kiosks installed very close to one another on narrow lanes.,0
63,Shaar Hashamaim,Mumbai,,1 hr,0,Situated in Thane West in Mumbai Shaar Hashamaim is also known as Gate of Heaven Synagogue. It was consecrated in 1879 and was further restored and renovated in 1999. After the beautification the two-storeyed synagogue looks more wonderful than ever.,0
64,Shaar Rason Synagogue,Mumbai,,1 hr,0,Situated in Pydhonie Mandvi in Mumbai Shaar Rason Synagogue is a relatively small synagogue which was consecrated in 1843. The exteriors are elegant and the interiors are adorned with various kinds of ceiling fans glass lanterns and lighting fixtures.,0
65,Tiphereth Israel Synagogue,Mumbai,,1 hr,0,Situated in the Kasturba Complex Jacob Circle in Mumbai Tiphereth Israel Synagogue was initially established as a prayer hall in 1886. However the growing Jewish population demanded a bigger building so in 1923 the prayer hall was remodelled and the current building was consecrated as a synagogue. Known to be one of the biggest and the most active synagogue in the city. The synagogue is called 'Kandlekaranchi Mashid' (Kandlekar's Synagogue) in the local Marathi language on the name of Late Mr. Aaron Benjamin Kandlekar. He was one of the active Jewish members who helped raise a considerable amount of fund for the construction of the synagogue. Currently the synagogue maintains an active status and is attended by a small yet regular group of devotees. There are regular prayer meets and daily Sabbaths held at the synagogue.,0
66,Shaar Harahamim Synagogue,Mumbai,,1 hr,0,Shaar Harahamim Synagogue is another one of the remaining synagogues in Mumbai situated in Masjid Bandar. The synagogue was consecrated in 1796 and was demolished and reconstructed once in 1860. The new building has two floors and is made of chunam or plaster of polished lime and sand.,0
67,Magen Hassidim Synagogue,Mumbai,,1 hr,0,Magen Hassidim Synagogue is situated on Morland Road in Agnipada Mumbai. The synagogue was consecrated in 1931 and is one of the biggest of its kind in the city. The two-storey classical-inspired stone columns and casement windows.,0
68,Magen David Synagogue,Mumbai,,1 hr,0,Located in Byculla in South Mumbai Magen David Synagogue is a Jewish synagogue that was consecrated in 1864. Boasting of a Victorian style architecture the building was constructed by David Sassoon for the Baghdadi Jewish population that had fled their territory to escape the wrath and torture of their governor. The original synagogue was considerably smaller in size- so when the Jewish popular increased in number by 1910 the synagogue could not be of proper service to the entire population. The area was then extended with the help of Jacob Sassoon (grandson of David Sassoon) and now it is one of the largest synagogues in Asia outside of Israel. Boasting of a vibrant bright blue building the synagogue also has stained glass windows and huge full frontal columns to flaunt of. It also has an enormous distinguishable clock tower that is clearly visible in the hustling area of Bombay. The synagogue holds regular morning services and prayers Sabbath and Shulchan breakfast which is attended by a fairly high number of believers. The synagogue is open to visit by all religions.,0
69,Knesset Eliyahoo,Mumbai,,1 hr,0,Knesset Eliyahoo also known as Knesset Eliyahu is the second oldest orthodox Jewish synagogue in Mumbai. Established in 1884 the building is located in Colaba and the exterior facade is painted turquoise.,0
70,Gate of Mercy Synagogue,Mumbai,,1 hr,0,Also known as Gate of Mercy Synagogue and Juni Masjid Shaar Harahamim Synagogue is the oldest synagogue in Mumbai which was established in 1796 by Samaji Hasaji Divekar. Originally the synagogue was built near Esplanade in South Mumbai but was later remodelled and relocated to Mandvi in 1860. The synagogue although has a small congregation yet it maintains an active 6:00 AM service daily. With a capacity to accommodate 300 devotees Gate of Mercy maintains an active status amidst the bustling neighborhood of Bombay and on special holy days the number of worshippers exceeds the limit. The synagogue also has Mikvah (bath) where the devotees can cleanse and purify themselves of sins. Besides the interior walls of the building are adorned with Stars of David which were added in the 1990s and a distinguished inscription  mark. The neighbourhood around the synagogue is also colloquially called Israeli Mohalla.,0
71,Shiro Mumbai,Mumbai,12:30 PM - 1:00 AM,1 - 2 hrs,1500,Located in Worli in Mumbai Shiro is a bar cum restaurant which is popular for its delectable Pan- Asian cuisine and amazing concoctions and innovative cocktails. Boasting of quaint decor and Japanese style setting the highlight of the two storeyed restaurant is the magnanimous Buddha statue. The ground floor is essentially the dining area that can be converted into private dining space on request for gatherings and private events. But the first floor has rich Teppanyaki stations. The speciality of the restaurant is its mouth watering sushi makimonos and rolls; however the restaurant also masters in Japanese Asian Malaysian and Thai cuisines.,0
72,AER,Mumbai,5:30 PM - 1:30 AM,1 - 2 hrs,2000,Located on the 34th floor of the Four Seasons Hotel in Worli AER is one of the best rooftop party lounge in Mumbai. Boasting of plush interiors and overwhelming ambience the restaurant also offers astounding panoramic vistas of the city’s skyline. The lounge has just the right kind and quality of music; you can choose to shake a leg to it or just enjoy it with good drinks and amidst good conversations. The glass walls luminous furniture and contemporary seating add to the charm of the place and so does the exuberant saucer shaped bar. Besides amazing concoctions and cocktails the place also boasts of delectable finger food to suit your taste. The dress code to be followed is smart casuals and a cover charge is applicable on the weekends.,0
73,Cafe Palm Atlantis,Mumbai,,1 - 2 hrs,0,Cafe Palm Atlantis is situated in Vashi Mumbai and has been designed to look like the Atlantis The Palm' in Dubai. With its plush interiors and fine dine wine atmosphere it is a top pick among the city dwellers. The club plays offers a mix of American Indian and European cuisines.,0
74,Rude Lounge,Mumbai,11:30 AM - 12:30 AM,1 - 2 hrs,0,Rude Lounge started in Bombay from the Belapur outlet and now has become a rage not only in B-town but also in the neighboring cities with six distinct outlets in Powai Malad Ulhasnagar and finally at Pune in Vimannagar and Hinjewadi. It boasts of an elite decor with neon lights posh setting wooden furnishings and an extravagant dance floor. Besides the amazing concoction of spirits and alcohol the bar also has amazing music to groove your feet on ranging from Bollywood to Retro Pop Progressive and Rock depending on the day of the week. Several high end DJs are invited to play for the same. It has a full fledged multi cuisine menu boasting of delicious dishes from all around the world; the finger food is especially mouth watering and should definitely be relished.,0
75,Independence Brewing Company,Mumbai,1:00 PM - 1:00 AM,1 - 2 hrs,0,Situated on the New Link Road in Mumbai Independence Brewing Company is one of the largest microbreweries in India that opened its gates for Mumbai after establishing a name for itself in the neighbouring town of Pune. Founded by Shailendra Bist & Avanish Vellanki the beer company is a unique initiative that caters to beer lovers with its comprehensive and elaborate varieties of gourmet craft beers across numerous global brew styles. Alongside this wide variety and choice of several new styles the pub also has live screenings of sports and games like football and cricket matches etc. Considered a haven for beer connoisseurs the indoor seating has picnic like benches giving the entire place an extremely charming yet casual look. The outdoors although have been done up tastefully in fairy lights and other exorbitant decor to lure the young couples and for perfect fancy dates.,0
76,Cavalry The Lounge,Mumbai,3:00 PM - 3:00 AM,1 - 2 hrs,0,Situated in the premises of the Heera Panna Shopping Mall in Powai in Mumbai Cavalry The Lounge is one of the premium fine wine and dine places in the B- Town. Flaunting exuberant interiors and posh setting and plush upholstery the place also boasts of sumptuous delicacies and amazing concocted drinks and cocktails both signature and classic. The indoor setting is lit with magnanimous chandeliers and chic party decor. Besides the entire place is adorned with hundreds and thousands of glass and crystal pieces synonymous with luxury and poise. In addition to that the pub has a capacity of around 200 people and it is known to host high end parties for both the youngsters and the adults. The food is prepared by expert in-house masterchefs; their speciality being Indian Fusion food Continental Mexican and Chinese.,0
77,Rodeo Drive Bar and Grill Mumbai,Andheri,6:00 PM - 1:30 AM,1 - 2 hrs,3000,Reverberating with a Mexican vibe the American Bar and Grill under the name of Rodeo Drive is situated inside the premises of Peninsula Redpine in Marol in Mumbai. Replete with old world charm of the countryside rodeos in the US the club encourages its guests to follow the dress code of exuberant cowboy boots and bandanas. Besides the perky theme and funky and cheerful music that reminds one of the olden days clubs bustling with laughter and excitement the place also has an arrangement of exciting games and activities like Beer Pong Flip Cup Quarters and the very illustrious raging Mechanical Bull. The club follows a retro party theme and a full blown wine and dine menu to serve to both your food and drinks needs. In addition to that the groovy music bombasting the dance floor is sure to make you dance to its tunes.,0
78,We VIP,Andheri,Time Required : 1 - 2 hrs,1 - 2 hrs,0,Situated in Lokhandwala We VIP is a new club in Mumbai. The club specializes in hip- hop trance and EDM music. Besides it has a swanky psychedelic lighting and invites international DJs. The club stays especially crowded on weekends.,0
79,Neos Mumbai,Mumbai,7:00 PM - 3:00 AM,1 - 2 hrs,0,Tucked inside the Phoenix Mall City in Mumbai Neos is a vibrant and thrilling club which stays especially crowded and overbooked on the weekends. The cosy bar has flashy neon lights a classy dance floor and great music.,0
80,Hymus Resto Bar,Andheri,11:00 AM to 10:00 PM IST (Open all days of the week),1 - 2 hrs,600,Hymus Resto Bar is situated in Andheri West in Mumbai and is a dainty quaint cafe serving amazing food. The resto bar also has a club with a jazzy dance floor where you can groove to swanky music. Besides the live gigs and karaoke nights it also has an outdoor seating.,0
81,Kitty Su,Andheri,10:00 PM onwards,1 - 2 hrs,0,Located in the suburban region of Andheri East Kitty Su is a nightclub in The Lalit Mumbai Hotel. It is considered to be one of the best places to party in Mumbai although preferences might differ. Kitty Su is probably the only or one of the few places in Mumbai that welcome the members of the LGBT community with open arms. The nightclub is famous for a wide range of drinks they serve and live gigs too. Most visitors find the bar staff to be entertaining polite and efficient. They have unique recipes to make some delicious cocktails and mocktails. Thus this place draws those who know their poison of choice and those who are always on the lookout for a great spot to party and hangout. The price range is a little on the higher side but the socialites are sure to have fun at Kitty Su.,0
82,Trilogy Super Club,Andheri,10:30 PM to 03:00 AM IST,1 - 2 hrs,1500,Trilogy Super Club is a famous club in Juhu a western suburb of Mumbai city. Its location right on the Juhu Beach draws fun lovers in quite a number. Those looking to really rock the night or enjoy a relaxed evening can head to the Trilogy Super Club if they are in this part of Mumbai. The club was initially known as “Trilogy” which was shut some time back for renovation and when it was reopened with a contemporary look and vibe it was renamed as “Trilogy Super Club”. The club occupies two levels in the hotel one has the bar and the dance floor while the second has the lounge area. They maintain a separate smoking room also.,0
83,Play The Lounge,Mumbai,12:30 PM - 1:00 AM,1 - 2 hrs,0,Play – The Lounge is located within the premises of Kamala Mill Compound in Lower Parel Mumbai. It is famous amongst party animals who visit the lounge for a good variety of drinks delicious food and different genres of lounge music. Those seeking something happening in life can expect to groove to a different DJ every week at Play – The Lounge. The ambience is contemporary with shimmering ceiling lights a large modern lounge area with tall tables chairs and comfortable sofas that can accommodate couples we well as small and large groups. From the menu one can choose between Asian Italian and American cuisine. There are dishes to compliment every drink they serve at the lounge.,0
84,Wink Bar Mumbai,Mumbai,6:00 AM - 1:00 AM,1 - 2 hrs,0,Wink is one of the most glamorous lounge bars in Mumbai and is referred to as one of the best bars in India. It is of the luxurious Taj President Hotel. It was once known as the Library Bar and is now a chic popular nightspot for those who enjoy the nightlife. During the weekdays it is a perfect spot for relaxing and having a drink or two as it is quiet during the week. However during the weekend it gets packed and the crowd is set to dance to the rhythm of the DJ. Although the DJ tends to play an amalgamation of Bollywood and upbeat English songs the Bollywood nights conducted by the place tends to attract an audience.,0
85,Infiniti Mall,Mumbai,10:00 AM - 11:00 PM,1 - 2 hrs,0,Infiniti Mall was launched in the year 2004 in Andheri. This mall is located at Oshiwara Linking Road in Andheri (West). It stands tall with 65 stores PVR cinemas that is a six-screen multiplex a spread-out food court that houses some of the most famous eateries (KFC Burger King McDonald’s Subway etc.) and a family entertainment centre. Compared to its counterpart in Malad it is a smaller mall covering 310000 sq ft.,0
86,Phoenix MarketCity,Mumbai,11:00 AM - 12:00 AM,1 - 2 hrs,0,Opened in 2011 Phoenix Marketcity is the largest shopping mall in Mumbai. It is situated in Kurla and is spread across 4.1 million sq ft with 2.1 million sq ft of retail area. The mall houses over 600 international and national stores over 100 restaurants and PVR Cinemas which has 14 screens. It is one of the most popular mall complexes in the city.,0
87,Jogeshwari Caves,Andheri,6AM - 6PM,1 - 2 hrs,200,Located in the heart of Mumbai Jogeshwari Caves are one of the oldest cave temples in the whole of India and also the largest. These former Buddhist caves date back to the 6th century and have been home to Hindu and Buddist sculptures. There are various temples of Lord Hanuman Shiva Ganesha and of Goddess Jogeshwari (known as Kuladevi) within the caves and many locals worship them. The Jogeshwari Caves are popular amongst those with an eye for architectural beauty. The beautiful sculptures and the history that the place holds make them a must-visit for any history-lover.,0
88,Mandapeshwar Caves,Mumbai,24 hrs,1 - 2 hrs,0,Situated near Borivali West in Mumbai Mandapeshwar Caves are 8th Century rock-cut shrine which are dedicated to the Hindu God - Shiva. Initially the caves were Buddhist Viharas some time later they were occupied by the Brahmans. Currently they are a popular tourist site.,0
89,Bhagirath Falls,Mumbai,24 hrs,1 - 2 hrs,0,Situated at a distance of 68 kms from Mumbai in Vangani Bhagirath Falls is one of the most picturesque and enchanting waterfalls near the city. Also known as Vangani Falls among the localites the spot is a pretty popular sightseeing place in the city.,0
90,Pandavkada Falls,Navi Mumbai,24 hours,1-2 hours,0,Pandavkada Falls is a 107 metres tall waterfall near Mumbai. It is a plunge type waterfall that flows through the mountains of the Western Ghats of Mumbai and cascades down with immense speed over rock formations underneath. It takes about 3 hours to reach the waterfall from Mumbai and barely an hour and a half from Navi Mumbai during low traffic situations. So this attraction is quite preferred for a short trek or a day-long picnic especially during the monsoon season when the mountains are covered with dense natural vegetation and provide for a beautiful escape from the routine. Reaching the waterfall during the rainy season is a thrill that calls amateur adventurers too.,0
91,Maharashtra Nature Park,Dharavi,Monday to Friday - 9:00 AM - 8:00 PM Saturday and Sunday - 7:30 AM - 7:30 PM,1 - 2 hrs,10,Situated opposite the bus stop in Dharavi Mumbai Maharashtra Nature Park is one of the most green spaces in the city. The park is the wonderful reformation of a dumping ground in 1994. The gorgeous park now boasts of more than 12000 trees in the premises.,0
92,BMC Forest Theme Garden,Western Suburbs,6:00 AM - 11:00 AM and 4:30 PM - 9:30 PM,1 - 2 hrs,0,Situated behind the Inorbit Mall in Malad suburb of Mumbai BMC Forest Theme Garden is wonderful mini forest created artificially. Boasting of 3000+ varieties of trees a lake lotus pond a beautiful butterfly garden etc. The park remains especially crowded due to its beautiful aesthetics and green surroundings.,0
93,Chota Kashmir - Aamchi Mumbai's Kashmir Connection,null,null,2 - 2 hrs,0,NA,0
94,Shivaji Park,South Mumbai,5:30 AM - 7:30 PM,1 - 2 hrs,0,Situated in Dadar Mumbai Shivaji Park is one of the largest parks in the city. Besides the very famous massive statue of Shivaji the park also houses an enormous cricket ground which hosts local cricket and football matches.,0
95,Horniman Circle Garden,South Mumbai,10:00 AM - 7:30 PM,1 - 2 hrs,0,Horniman Circle Gardens is a well-known attraction for rejuvenation activities. Locals living nearby often head to the gardens for their morning and evening jogs/ walks. The place has well-maintained jogging tracks pavements lawns with a decent number of trees. The attraction also houses a kid’s play area where visitors can let their children have fun. Along with the landscape visitors can also witness the posh area that the garden is located in. There are old and new buildings like the Asiatic Library Elphinstone Building the Garden Cathedral etc. in and around the Gardens. Their magnificent architecture belongs to varied decades and makes this part of the city a suitable place for architecture buffs and photographers.,0
96,Joggers Park,Bandra,5:30 AM - 9:00 AM and 3:30 PM - 9:00 PM,1 - 2 hrs,0,As the name suggests Joggers Park is a fabulous place for morning/ evening jogs and walks. But the place is bustling with visitors almost throughout the day. Visitors can explore the well-landscaped park that consists of tall and dense trees shrubbery lawns with well-kept walkways water bodies with ducks and fishes and a scenic view of the Arabian Ocean. In a metro like Mumbai where concrete and buildings are all one can see Joggers Park is an oasis that must not be missed.,0
97,Suraj Water Park,Thane,10:00 AM - 6:00 PM,3 - 4 hrs,650,Suraj Water Park is a theme park in Thane. It was conceptualized by Arun Kumar Muchhalla who is the chairman of Muchhalla Magic Land Pvt Ltd and the owner of the water park. White Water West Industries Canada designed this theme park over 11-acre land in the city. This park has the longest tunnel in the continent which is made using fibreglass. It has a museum where there are a number of genuine ancient locks. The water park also has 16 slides including a rainbow slide a waterfall which is Asia’s largest artificial waterfall and a village themed section called Surajgadh. The park also has locker facilities (rent and deposit charges are applicable) where visitors can keep their belongings.,0
98,Vardhaman Fantasy Amusement Park,Thane,9:00 AM - 9:00 PM,2 - 4 hrs,0,Vardhaman Fantasy Amusement Park is a relatively new park constructed in Mumbai. The highlight of the park are the seven charming zones that it is divided into - Texas Cowboy Greek Village Colo Theatrum Viva Las Vegas Wonders of the World Lake Venetia and Spanish food. Besides the wonderful setting and construction the park also has a massive food court facilitates boasting and has thrill rides for both adults and kids.,0
99,Water Kingdom,Western Suburbs,10:30 AM - 6:30 PM,3 - 4 hrs,699,Believed to be Asia's largest theme water park the Water Kingdom is an enormous family-friendly water cum amusement park in Mumbai. Boasting of a number of small and large pools and featuring speed modulated slides pool waves lazy river etc the park is a big hit among the kids and the adults. In addition to that you can also opt for a fish pedicure on the premises. For kids and adults like the Water Kingdom is a welcome respite from the heat and hassles of Mumbai.,0
100,Snow World Mumbai,Mumbai,11:00 AM - 10:00 PM,2 - 3 hrs,400,A fascinating relief from the infamous heat and humidity of Mumbai Snow World is a one-of-a-kind snow theme park located in Phoenix Market City of Kurla Mumbai. It is the perfect destination for you and your family to spend a day skating and sledging on ice throwing snowballs at each other and enjoy the very realistic snowfall in the Snow Dance arena. To go with the theme of the park and to provide guests with a very authentic feel of land covered in snow the temperature is kept at -10°C - an exciting contrast from the weather conditions Mumbai gets even in winter.,0
101,Smaaash Mumbai,South Mumbai,11:00 AM - 12:30 AM,2 - 3 hrs,675,A one of its kind entertainment hub in Lower Parel area of Mumbai Smaaash is one of the best destinations for a fun day outing in the City of Dreams. Smaaash has taken video gaming to a whole new level of excitement and expertise with a fun culmination of sports music virtual reality simulation technology and creative digital designing. Launched in 2012 by the biggest sportsperson India has ever had Sachin Tendulkar who also happens to be their brand ambassador Smaaash has now spread across all over the country with outlets in cities like Bangalore Gurgaon Hyderabad and Siliguri.,0
102,Yazoo Park,Mumbai,11:00 AM - 9:00 PM,3 - 4 hrs,500,Located in the outskirts of Mumbai Yazoo Park is a lovely amusement park spread over and area of 12 acres catering to all and every age starting right from the tiny tots to veteran gamers. This bonafide wonderland is a perfect destination for those who want to get out of the crowd of the city and spend a day somewhere quieter and closer to nature but also do not want to miss out on the plethora of rides and recreations that any premier amusement park would offer.,0
103,Adlabs Imagica,Mumbai,Weekdays - 11:00 AM - 8:00 PM; Weekends - 11:00 AM - 9:00 PM,3 - 4 hrs,1200,Endearingly known as India's Disneyland Adlabs Imagica is the largest theme park of the country situated in Mumbai. Inaugurated in 2013 and sprawling over a humongous area of 300 acres the Adlabs Imagica is a one stop destination for all water cum adventure activities. Besides it also boasts of a plethora of restaurants and club both for luxury dining and binge eating.,0
104,Vasind,Mumbai,24 hrs,1 - 2 days,0,Vasind is an upcoming town of Maharashtra located on the banks of River Bhatsa and enveloped by hills. The dainty township is just 60 kms away from Mumbai and is well connected to the metro city through Vasind Railway Station and Mumbai Suburban Railway System. Popular for its well architectured temples verdant green hills and beautiful hills Vasind also has an established market proper sanitation facilities and adequate water supply. Hence most people scutter from the crowded metro city to spend some time amidst nature exploring the ruins of old fortresses and trekking their ways up the forest and the hills.,0